,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
86,Eastern Kentucky,30,14,16,.467,-9.79,-4.43,11,6,9,4,5,10,2276,2304,,1200,813,1781,.456,202,620,.326,476,651,.731,353,1219,448,212,98,548,519
87,Eastern Michigan,28,15,13,.536,-1.68,1.24,5,10,10,4,3,9,1824,1752,,1120,611,1503,.407,250,724,.345,280,429,.653,294,984,386,187,73,480,534
88,Eastern Washington,28,20,8,.714,1.43,-1.46,13,4,11,2,9,6,2263,2049,,1130,727,1709,.425,191,556,.344,404,560,.721,278,1037,411,209,92,413,544
89,Elon,30,11,19,.367,-8.07,-1.74,7,10,8,8,3,11,2067,2160,,1205,712,1619,.440,241,672,.359,495,661,.749,240,1048,378,183,89,357,529
90,Evansville,30,9,21,.300,-6.97,0.72,0,17,5,9,3,10,2034,2239,,1230,814,1723,.472,185,507,.365,426,571,.746,256,1072,337,163,74,349,555
91,Fairfield,27,11,16,.407,-8.68,-4.49,7,9,5,6,5,8,1594,1707,,1100,611,1439,.425,181,528,.343,304,427,.712,223,859,312,162,84,334,483
92,Fairleigh Dickinson,28,10,18,.357,-10.20,-5.65,8,9,7,5,3,13,2012,2086,,1130,745,1665,.447,236,676,.349,360,514,.700,324,1016,421,183,85,358,445
93,Florida A&M,26,12,14,.462,-12.07,-5.99,10,5,8,0,4,12,1754,1912,,1060,672,1453,.462,159,518,.307,409,598,.684,273,957,331,195,95,405,529
94,Florida Atlantic,29,16,13,.552,-1.55,-1.36,8,8,14,3,2,10,2047,1987,,1170,726,1665,.436,211,640,.330,324,468,.692,254,1008,329,198,63,433,484
95,Florida Gulf Coast,30,10,20,.333,-10.17,-4.14,7,8,6,9,4,11,1843,1976,,1210,703,1679,.419,218,642,.340,352,511,.689,303,1053,350,227,89,410,428
96,Florida International,28,17,11,.607,0.20,-1.40,8,7,11,2,5,8,2145,2024,,1125,734,1764,.416,177,621,.285,379,524,.723,384,1118,359,219,82,461,458
97,Florida State,28,24,4,.857,17.54,7.54,14,3,15,0,6,4,2114,1834,,1130,623,1540,.405,192,602,.319,396,534,.742,293,918,275,152,80,470,484
98,Florida,28,18,10,.643,14.93,8.75,10,5,11,3,3,6,2032,1859,,1130,644,1548,.416,178,563,.316,393,536,.733,263,900,310,160,67,366,511
99,Fordham,27,7,20,.259,-4.21,0.23,1,14,6,11,0,7,1551,1671,,1095,578,1430,.404,203,659,.308,312,455,.686,253,1015,357,184,68,377,431
100,Fresno State,28,10,18,.357,2.26,3.70,6,11,6,7,4,10,1942,1936,,1145,672,1615,.416,235,657,.358,357,473,.755,268,966,347,159,68,295,471
101,Furman,30,24,6,.800,7.28,-1.13,14,3,13,1,10,5,2307,1988,,1210,737,1694,.435,215,701,.307,299,416,.719,286,1031,404,191,81,482,474
102,Gardner-Webb,29,14,15,.483,-5.96,-6.04,10,7,7,5,5,10,2110,2070,,1195,723,1716,.421,244,730,.334,380,531,.716,316,1037,417,179,82,372,489
103,George Mason,28,15,13,.536,1.10,1.67,4,11,10,6,2,7,1871,1887,,1125,690,1600,.431,190,609,.312,317,467,.679,285,965,344,181,101,362,507
104,George Washington,28,12,16,.429,-2.39,0.36,6,9,7,8,3,7,1880,1957,,1140,729,1637,.445,154,489,.315,345,506,.682,275,1001,323,193,103,302,490
105,Georgetown,28,15,13,.536,11.05,9.01,5,10,10,6,4,6,2119,2062,,1120,737,1710,.431,253,707,.358,335,461,.727,296,978,432,209,89,375,537
106,Georgia Southern,29,17,12,.586,0.98,-0.87,11,7,10,3,6,8,2177,2043,,1160,752,1723,.436,192,622,.309,347,493,.704,307,1109,383,163,72,460,543
