,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
105,Georgetown,28,15,13,.536,11.05,9.01,5,10,10,6,4,6,2119,2062,,71.7,102.7,.270,.413,.534,47.5,58.6,10.4,7.5,.505,16.3,28.3,.196
106,Georgia Southern,29,17,12,.586,0.98,-0.87,11,7,10,3,6,8,2177,2043,,73.0,96.5,.286,.361,.522,52.0,50.9,7.7,7.1,.492,19.0,29.3,.201
107,Georgia State,29,18,11,.621,3.69,0.06,11,7,11,1,6,10,2278,2081,,73.9,96.3,.434,.361,.505,49.8,51.0,8.6,9.6,.450,18.3,32.4,.319
108,Georgia Tech,28,14,14,.500,9.92,9.40,8,9,8,6,5,7,1925,1883,,70.8,94.2,.356,.328,.496,48.8,53.3,10.6,9.2,.453,16.8,28.3,.253
109,Georgia,28,14,14,.500,8.08,7.23,4,11,11,4,3,8,2130,2104,,72.3,102.1,.303,.346,.527,48.6,46.4,9.0,9.2,.504,16.0,30.4,.198
110,Gonzaga,30,28,2,.933,22.88,2.42,14,1,16,0,10,1,2634,2020,,73.0,91.8,.212,.338,.493,43.6,44.4,8.5,7.1,.471,16.8,23.0,.145
111,Grambling,27,14,13,.519,-12.41,-7.84,8,6,9,2,5,10,1950,1890,,71.9,97.3,.375,.385,.520,47.8,58.2,9.1,6.6,.483,17.4,26.7,.257
112,Grand Canyon,28,12,16,.429,-6.01,-3.75,7,7,7,7,4,6,1972,2042,,67.9,106.5,.297,.409,.546,51.9,56.0,7.9,7.0,.516,14.6,28.1,.214
113,Green Bay,30,15,15,.500,-5.32,-2.72,10,7,8,5,7,10,2473,2433,,75.5,106.1,.319,.403,.554,51.7,51.5,7.4,6.1,.519,16.8,30.8,.239
114,Hampton,30,13,17,.433,-13.23,-5.56,8,9,11,4,2,13,2324,2396,,72.0,110.0,.379,.378,.550,50.2,54.9,7.9,7.5,.517,13.7,30.8,.265
115,Hartford,30,16,14,.533,-7.08,-5.72,9,6,8,7,8,7,1983,1999,,69.3,95.8,.289,.385,.492,53.0,54.1,9.3,8.8,.460,16.3,30.2,.201
116,Harvard,25,18,7,.720,3.20,-1.26,7,3,10,0,7,4,1832,1668,,68.9,94.9,.317,.351,.503,46.4,45.3,9.7,6.9,.470,16.5,24.7,.217
117,Hawaii,27,16,11,.593,-0.66,-1.89,7,6,14,5,2,6,1865,1816,,69.2,96.8,.328,.268,.520,49.3,37.5,9.0,8.5,.483,16.9,25.4,.236
118,High Point,30,9,21,.300,-16.29,-5.18,6,11,6,9,3,12,1975,2243,,67.6,109.7,.362,.459,.576,48.9,60.3,10.2,10.3,.553,15.9,28.0,.246
119,Hofstra,30,22,8,.733,2.20,-3.69,13,4,9,4,11,4,2293,2080,,69.7,99.5,.215,.357,.525,49.7,54.4,8.5,6.7,.501,17.4,29.5,.156
120,Holy Cross,30,3,27,.100,-17.25,-4.08,2,15,2,11,0,15,1997,2382,,68.7,114.1,.317,.338,.579,52.6,47.3,10.0,8.7,.556,13.5,28.8,.222
121,Houston Baptist,26,3,23,.115,-17.55,-2.70,3,14,2,8,1,14,2077,2463,,78.3,120.4,.372,.327,.611,50.8,56.4,11.1,10.7,.583,14.2,32.4,.272
122,Houston,28,21,7,.750,16.36,5.61,11,4,12,2,6,5,2038,1737,,66.8,92.5,.401,.393,.483,43.4,54.8,7.7,5.6,.437,15.8,25.4,.275
123,Howard,28,2,26,.071,-21.48,-6.52,0,13,1,12,1,13,1950,2284,,71.9,112.0,.356,.378,.568,55.3,62.4,8.5,7.4,.544,16.7,36.6,.240
124,Idaho State,26,6,20,.231,-8.37,-0.92,3,14,4,9,2,11,1798,1886,,67.7,105.7,.265,.270,.554,48.9,41.2,9.0,8.7,.525,15.2,26.7,.197
125,Idaho,28,7,21,.250,-11.67,-1.79,3,14,4,9,2,11,1818,2019,,69.7,103.0,.274,.393,.534,50.3,54.1,10.4,7.5,.509,14.6,25.8,.188
126,Illinois-Chicago,30,15,15,.500,-5.18,-3.66,10,7,9,6,5,9,2051,2092,,70.2,98.9,.359,.384,.503,49.7,56.3,9.8,7.9,.467,15.0,29.2,.244
127,Illinois State,29,9,20,.310,-2.75,2.28,4,13,9,6,0,11,1914,2036,,68.2,102.4,.306,.386,.543,51.4,51.8,9.6,7.9,.511,17.3,28.1,.221
128,Illinois,28,19,9,.679,15.28,9.06,11,6,13,3,6,5,2031,1811,,67.9,94.8,.224,.333,.494,43.8,45.2,8.7,7.9,.468,15.1,24.6,.156
129,Incarnate Word,28,9,19,.321,-18.73,-6.53,6,11,7,7,2,12,1836,2055,,69.2,104.6,.330,.355,.551,52.4,58.5,9.5,10.4,.513,18.0,32.7,.249
130,Indiana State,28,17,11,.607,3.67,1.63,10,7,11,1,4,8,1930,1868,,66.2,100.3,.336,.373,.537,50.3,52.4,7.6,7.9,.506,17.0,24.9,.233
131,Indiana,28,18,10,.643,14.65,10.15,8,9,14,3,2,7,2003,1877,,68.8,97.0,.331,.393,.515,45.9,52.3,9.1,8.5,.483,16.2,24.9,.226
132,Iona,24,11,13,.458,-5.97,-5.14,9,8,5,5,4,7,1682,1702,,68.6,102.2,.360,.398,.528,51.3,60.2,9.5,8.8,.502,16.6,31.1,.232
133,Iowa State,28,12,16,.429,10.00,9.86,5,10,11,5,0,9,2038,2034,,70.6,102.4,.269,.376,.538,51.4,48.7,10.2,7.9,.515,18.0,31.9,.182
134,Iowa,28,19,9,.679,16.38,10.27,10,7,13,1,4,6,2189,2018,,70.8,101.8,.270,.398,.527,48.2,57.8,8.7,9.8,.497,15.6,28.6,.196
135,Purdue-Fort Wayne,30,13,17,.433,-8.03,-3.59,6,9,10,5,3,12,2062,2101,,69.5,100.8,.279,.413,.545,48.6,53.9,9.2,9.3,.518,17.0,24.0,.199
